# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
接到	jiēdào	verb — to receive, to get (a letter, call, order)	TOCFL 4
接受	jiēshòu	verb — to accept; to receive; to take in	TOCFL 3
接待	jiēdài	verb — to receive guests; to host; to attend to visitors	TOCFL 5
接洽	jiēqià	verb — to make contact with and arrange (a matter, deal, business)	TOCFL 5
接管	jiēguǎn	verb — to take over (control, management, a post)	TOCFL 5
接納	jiēnà	verb — to accept, take in, welcome (a person, an idea)	TOCFL 5
接著	jiēzhe	adverb — next, then; verb — to carry on, follow on	TOCFL 3
接見	jiējiàn	verb — to receive (a visitor); to grant an audience/interview	TOCFL 4
接觸	jiēchù	verb — to touch; to come into contact with; to make contact	TOCFL 4
接近	jiējìn	verb — to approach, to draw near; adjective — close to	TOCFL 4
接連	jiēlián	adverb — one after another, in succession, repeatedly	TOCFL 5
接過	jiēguò	verb — to take (something handed over); to receive into one's hands	TOCFL 2
控制	kòngzhì	verb — to control; to restrain; to regulate	TOCFL 4
推出	tuīchū	verb — to launch, to release, to bring out (a product, plan, or person)	TOCFL 5
推動	tuīdòng	verb — to push forward, to drive, to promote	TOCFL 4
推崇	tuīchóng	verb — to hold in high esteem, extol, look up to	TOCFL 5
推廣	tuīguǎng	verb — to promote; to spread the use of; to popularize	TOCFL 5
推測	tuīcè	verb — to infer, conjecture; noun — a guess, conjecture	TOCFL 5
推理	tuīlǐ	noun/verb — reasoning; to reason step by step	TOCFL 5
推翻	tuīfān	verb — to overthrow, to overturn, to topple (a regime, a conclusion)	TOCFL 4
推薦	tuījiàn	verb — to recommend, put forward	TOCFL 4
推行	tuīxíng	verb — to put into practice, to roll out, to promote (a policy, a method)	TOCFL 6
推進	tuījìn	verb — to push forward, advance, propel	TOCFL 6
推選	tuīxuǎn	verb — to nominate and elect, put forward by common choice	TOCFL 5
推銷	tuīxiāo	verb — to market, to promote and sell, to push a product	TOCFL 3
推開	tuīkāi	verb — to push open; to push away, push aside	TOCFL 4
掩蓋	yǎngài	verb — to cover up, to conceal, to mask (a fact, a sound, a smell)	TOCFL 4
措施	cuòshī	noun — measure; step; policy action; countermeasure	TOCFL 5
描寫	miáoxiě	verb — to describe, to depict (in words or writing)	TOCFL 3
描繪	miáohuì	verb — to depict, portray, paint a picture of (in words or lines)	TOCFL 5
描述	miáoshù	verb — to describe, depict in words; noun — a description, an account	TOCFL 5
提供	tígōng	verb — to provide, to supply, to offer (something for use)	TOCFL 3
提倡	tíchàng	verb — to advocate, to promote, to encourage (a practice or idea)	TOCFL 5
提出	tíchū	verb — to put forward; to raise; to propose	TOCFL 3
提到	tídào	verb — to mention, to bring up	TOCFL 4
提前	tíqián	verb — to move up, do ahead of time, bring forward	TOCFL 5
提升	tíshēng	verb — to raise, to lift, to upgrade (a level, quality)	TOCFL 6
提及	tíjí	verb — to mention, bring up, refer to	TOCFL 5
提名	tímíng	verb — to nominate; noun — a nomination	TOCFL 6
提拔	tíbá	verb — to promote, single out and advance (a junior, a talent)	TOCFL 5
提早	tízǎo	verb — to move up (a time), to do ahead of schedule; adverb — earlier than planned	TOCFL 4
提昇	tíshēng	verb — to raise, lift, improve (quality, level, ability)	TOCFL 5
提議	tíyì	verb — to propose, suggest; noun — a proposal, suggestion	TOCFL 5
提起	tíqǐ	verb — to mention, to bring up; to lift up, to raise (one's spirits)	TOCFL 4
提醒	tíxǐng	verb — to remind; to prompt	TOCFL 4
提高	tígāo	verb — to raise, to lift, to improve (a level, a price, a skill)	TOCFL 3
插嘴	chāzuǐ	verb — to cut in, interrupt, butt into a conversation	TOCFL 5
插圖	chātú	noun — illustration (a picture inserted in text)	TOCFL 4
插曲	chāqǔ	noun — an interlude; a song inserted into a film or play; a small unexpected episode	TOCFL 5
插花	chāhuā	verb — to arrange flowers; noun — flower arrangement (the art of)	TOCFL 4
換取	huànqǔ	verb — to exchange for, trade something to get something	TOCFL 5
握手	wòshǒu	verb — to shake hands	TOCFL 3
揭幕	jiēmù	verb — to unveil (a monument); to inaugurate, mark the opening of (an event)	TOCFL 5
揭曉	jiēxiǎo	verb — to announce, to make public (a result, an answer)	TOCFL 5
援助	yuánzhù	verb — to aid, to give assistance to; noun — aid, assistance	TOCFL 5
損傷	sǔnshāng	verb — to damage, to injure, to harm; noun — damage, injury	TOCFL 6
損壞	sǔnhuài	verb — to damage, to break, to spoil (something so it no longer works)	TOCFL 5
損失	sǔnshī	noun — a loss; verb — to lose (suffer damage to)	TOCFL 5
損害	sǔnhài	verb — to damage, to harm; noun — damage	TOCFL 6
搏鬥	bódòu	verb — to grapple, to fight hand to hand, to struggle fiercely; noun — a fight, a struggle	TOCFL 5
搖擺	yáobǎi	verb — to sway, to rock back and forth; to waver, to vacillate	TOCFL 4
搖晃	yáohuàng	verb — to sway, to rock, to shake from side to side	TOCFL 5
搖頭	yáotóu	verb — to shake one's head (in refusal or doubt)	TOCFL 5
搜尋	sōuxún	verb — to search for; to look for; to hunt down	TOCFL 5
搜集	sōují	verb — to collect, to gather (by searching things out)	TOCFL 5
搬家	bānjiā	verb — to move house, to relocate one's home	TOCFL 2
搬運	bānyùn	verb — to haul, to transport, to move (goods) from place to place	TOCFL 4
搭配	dāpèi	verb — to pair up, to match, to combine (so the parts go together); noun — a pairing, combination	TOCFL 5
搶救	qiǎngjiù	verb — to rescue, to save (in an emergency), to salvage	TOCFL 4
摧殘	cuīcán	verb — to wreck, to ravage, to wear down cruelly (health, spirit, a living thing)	TOCFL 5
摧毀	cuīhuǐ	verb — to destroy, to demolish, to smash (utterly)	TOCFL 5
摩托車	mótuōchē	noun — a motorcycle, motorbike	TOCFL 2
撐腰	chēngyāo	verb — to back someone up, to give support (so they can stand firm)	TOCFL 5
撒謊	sāhuǎng	verb — to lie, to tell a lie	TOCFL 5
撤回	chèhuí	verb — to withdraw, to retract, to take back (a statement, request, troops)	TOCFL 5
撤銷	chèxiāo	verb — to revoke, cancel, rescind	TOCFL 6
撫育	fǔyù	verb — to nurture, to raise and care for (a child, the young)	TOCFL 5
撫養	fǔyǎng	verb — to raise, to bring up and provide for (a child, a dependent)	TOCFL 5
播出	bōchū	verb — to broadcast, to air (a programme on TV or radio)	TOCFL 5
撮合	cuōhe	verb — to match up, to bring two parties together (a couple, a deal)	TOCFL 5
撰寫	zhuànxiě	verb — to write, compose (an article, document)	TOCFL 5
撲滅	pūmiè	verb — to put out, to extinguish (a fire); to stamp out, to wipe out	TOCFL 4
擁抱	yōngbào	verb — to embrace, to hug, to hold in one's arms	TOCFL 4
擁擠	yōngjǐ	adjective — crowded, packed, jammed (with people)	TOCFL 4
擁有	yōngyǒu	verb — to possess; to have; to own	TOCFL 4
擁護	yōnghù	verb — to support, to endorse, to rally behind (a leader, a policy)	TOCFL 4
擅長	shàncháng	verb — to be good at, to excel in, to have a special skill in	TOCFL 5
擊落	jīluò	verb — to shoot down, to bring down (an aircraft, a flying target) by striking it	TOCFL 5
操作	cāozuò	verb — to operate; to handle; noun — operation	TOCFL 5
操場	cāochǎng	noun — a playground, sports ground, drill field (at a school)	TOCFL 2
操心	cāoxīn	verb — to worry about, to trouble oneself over, to take pains over	TOCFL 4
操縱	cāozòng	verb — to operate (a machine); to manipulate, to control behind the scenes (people, a market)	TOCFL 5
擔任	dānrèn	verb — to hold a position; to serve as; to take on a role	TOCFL 4
擔保	dānbǎo	verb — to guarantee, to vouch for, to stand surety for	TOCFL 4
擔心	dānxīn	verb — to worry	TOCFL 2
擔當	dāndāng	verb — to take on, to shoulder (a duty, responsibility); noun — readiness to take responsibility, mettle	TOCFL 5
擔負	dānfù	verb — to bear, to take on, to be charged with (a duty, cost, responsibility)	TOCFL 5
據悉	jùxī	phrase — it is reported that, according to what is known (formal news register)	TOCFL 5
據說	jùshuō	verb/adv — it is said that…, reportedly, according to what is said	TOCFL 4
擬定	nǐdìng	verb — to draw up, to draft and settle (a plan, a contract, a list)	TOCFL 5
擴充套件	kuòchōngtàojiàn	noun — a software extension; a browser add-on; a plug-in	TOCFL 3
擴大	kuòdà	verb — to expand; to enlarge; to widen	TOCFL 4
擴建	kuòjiàn	verb — to extend (a building, a facility); to enlarge by building	TOCFL 7
擴張	kuòzhāng	verb — to expand; to extend (territory, power, influence)	TOCFL 5
擴散	kuòsàn	verb — to spread out, to diffuse, to disperse over a wider area	TOCFL 5
擺脫	bǎituō	verb — to break free of; to shake off (something clinging)	TOCFL 5
攜帶	xiédài	verb — to carry (on one's person), to bring along	TOCFL 5
攝取	shèqǔ	verb — to take in, to absorb (nutrients, calories); to take up, to draw in	TOCFL 5
攝影	shèyǐng	noun — photography; verb — to photograph, to film	TOCFL 5
攝影機	shèyǐngjī	noun — a (movie/video) camera, a cine-camera	TOCFL 5
攝氏	shèshì	noun — Celsius, the centigrade temperature scale	TOCFL 5
攤位	tānwèi	noun — a stall, a booth (at a market or fair)	TOCFL 4
攤子	tānzi	noun — a (vendor's) stall, stand; (figuratively) a mess/operation to manage	TOCFL 4
攪和	jiǎohuo	verb — to mix together, to stir up; to mess things up, to meddle (colloquial)	TOCFL 5
支付	zhīfù	verb — to pay; to disburse	TOCFL 5
支出	zhīchū	noun — expenditure, outgoings, spending; verb — to pay out, to disburse	TOCFL 4
支應	zhīyìng	verb — to cope with, to manage (a demand or expense); to handle, to see to	TOCFL 5
支持	zhīchí	verb — to support, to back, to stand by; noun — support, backing	TOCFL 4
支援	zhīyuán	verb/noun — to support; to aid; to provide backup; backup support	TOCFL 5
支撐	zhīchēng	verb — to prop up, to hold up, to support; to sustain, to hold out	TOCFL 5
支票	zhīpiào	noun — a cheque, a check (written order to a bank to pay money)	TOCFL 4
支配	zhīpèi	verb — to control, to allocate, to dictate how something is used	TOCFL 6
收入	shōurù	verb — to take in; to collect; noun — income; revenue	TOCFL 3
收到	shōudào	verb — to receive, to have received (a thing reaches you)	TOCFL 3
收拾	shōushi	verb — to tidy up, put in order; to pack (one's things); to deal with (someone)	TOCFL 4
收據	shōujù	noun — a receipt (written proof that money or goods were received)	TOCFL 4
收益	shōuyì	noun — gains, returns, proceeds; the benefit taken in	TOCFL 5
收看	shōukàn	verb — to watch (a TV programme, a broadcast); to tune in	TOCFL 4
收穫	shōuhuò	noun — harvest, the crop gathered in; (figurative) gains, what you take away from an experience	TOCFL 3
收縮	shōusuō	verb — to contract, to shrink, to draw in; to scale back	TOCFL 5
收聽	shōutīng	verb — to tune in, to listen to (a broadcast)	TOCFL 5
收藏	shōucáng	verb — to collect, keep; noun — a collection	TOCFL 5
收買	shōumǎi	verb — to buy up, to purchase (in quantity); to buy off, to bribe over	TOCFL 5
收費	shōufèi	verb — to charge a fee, to collect payment	TOCFL 4
收購	shōugòu	verb — to buy up; to acquire (a company, or goods in bulk)	TOCFL 6
收集	shōují	verb — to collect, to gather (items, information) together	TOCFL 4
收音機	shōuyīnjī	noun — radio (the receiver set)	TOCFL 3
改名	gǎimíng	verb — to change one's name, to rename	TOCFL 3
改善	gǎishàn	verb — to improve, to make better	TOCFL 4
改天	gǎitiān	adverb — another day, some other time (to reschedule for later)	TOCFL 3
改建	gǎijiàn	verb — to rebuild, to renovate, to reconstruct	TOCFL 7
改正	gǎizhèng	verb — to correct, to put right (a mistake, an error)	TOCFL 4
改為	gǎiwéi	verb — to change into, to switch to	TOCFL 3
改稱	gǎichēng	verb — to rename; to change what something is called	TOCFL 3
改編	gǎibiān	verb — to adapt (a work into another form); to rearrange, to revise; to reorganize (a unit)	TOCFL 5
改良	gǎiliáng	verb — to improve, to refine; to make better (a method, breed, or product)	TOCFL 5
改觀	gǎiguān	verb — to take on a new look; to change one's view of something	TOCFL 5
改變	gǎibiàn	verb — to change; to alter; to transform	TOCFL 3
改造	gǎizào	verb — to transform; to remake, reform	TOCFL 5
改進	gǎijìn	verb — to improve; to make better	TOCFL 5
改選	gǎixuǎn	verb — to hold a new election; to re-elect, to replace by a fresh vote	TOCFL 5
改革	gǎigé	verb/noun — to reform; reform	TOCFL 3
攻擊	gōngjí	verb — to attack; to assault	TOCFL 5
攻讀	gōngdú	verb — to pursue (a degree or field), to study hard at, to major in	TOCFL 5
攻關	gōngguān	verb — to storm a pass; (figurative) to tackle a hard problem, to crack a key difficulty	TOCFL 7
放任	fàngrèn	verb — to let be, to leave unchecked; adj — laissez-faire, permissive	TOCFL 5
放假	fàngjià	verb — to have a holiday, to be off (school or work)	TOCFL 2
放大	fàngdà	verb — to enlarge, to magnify, to blow up (an image, a sound)	TOCFL 4
放學	fàngxué	verb — to finish school for the day, to be let out of class	TOCFL 4
放寬	fàngkuān	verb — to relax, to loosen, to ease (a rule, limit, or standard)	TOCFL 5
放心	fàngxīn	verb — to rest assured; to set one's mind at ease	TOCFL 3
放手	fàngshǒu	verb — to let go (one's grip), to release; to give a free hand, to stop holding back	TOCFL 4
放映	fàngyìng	verb — to screen, to show, to project (a film)	TOCFL 5
放棄	fàngqì	verb — to give up; to abandon	TOCFL 4
放款	fàngkuǎn	verb/noun — to lend money, to extend a loan; a loan made by a bank	TOCFL 5
放蕩	fàngdàng	adjective — dissolute, unrestrained, wild; loose in conduct	TOCFL 5
放逐	fàngzhú	verb — to banish, to exile, to send into exile	TOCFL 5
放鬆	fàngsōng	verb — to relax, loosen up; to slacken	TOCFL 4
政協	zhèngxié	proper noun — the CPPCC, China's political advisory body; short for 中國人民政治協商會議	named-entity
政府	zhèngfǔ	noun — government	TOCFL 2
政權	zhèngquán	noun — political power; a regime	TOCFL 6
政治	zhèngzhì	noun — politics; political affairs	TOCFL 3
政策	zhèngcè	noun — policy; a course of action adopted by a government or organization	TOCFL 4
政績	zhèngjī	noun — political achievements, a record in office, the results of governing	TOCFL 5
政見	zhèngjiàn	noun — political views, a candidate's stated positions, a policy platform	TOCFL 5
政變	zhèngbiàn	noun — a coup; a sudden, forcible seizure of government power	TOCFL 6
政體	zhèngtǐ	noun — form of government; political system, polity	TOCFL 6
政黨	zhèngdǎng	noun — political party	TOCFL 6
故事	gùshì	noun — a story; a tale	TOCFL 2
故宮	Gùgōng	proper noun — the Forbidden City, Beijing's old imperial palace; also the Palace Museum	TOCFL 4
故意	gùyì	adverb — on purpose, deliberately, intentionally	TOCFL 4
故道	gùdào	noun — an old route; the former course of a river	TOCFL 6
故鄉	gùxiāng	noun — one's hometown, native place, birthplace	TOCFL 4
效力	xiàolì	noun — effect, potency, force (of a drug or rule); verb — to serve, to work for	TOCFL 5
